sample,fastq_1,fastq_2,strandedness
RS1_FGF8_15m_rep1,RS1_FGF8_15m_rep1_S1_R1_001.fastq.gz,,auto
RS2_FGF17_15m_rep1,RS2_FGF17_15m_rep1_S2_R1_001.fastq.gz,,auto
RS3_FGF8_1h_rep1,RS3_FGF8_1h_rep1_S3_R1_001.fastq.gz,,auto
RS4_FGF17_1h_rep1,RS4_FGF17_1h_rep1_S4_R1_001.fastq.gz,,auto
RS5_FGF8_4h_rep1,RS5_FGF8_4h_rep1_S5_R1_001.fastq.gz,,auto
RS6_FGF17_4h_rep1,RS6_FGF17_4h_rep1_S6_R1_001.fastq.gz,,auto
RS7_FGF8_24h_rep1,RS7_FGF8_24h_rep1_S7_R1_001.fastq.gz,,auto
RS8_FGF17_24h_rep1,RS8_FGF17_24h_rep1_S8_R1_001.fastq.gz,,auto
RS9_FGF8_15m_rep2,RS9_FGF8_15m_rep2_S9_R1_001.fastq.gz,,auto
RS10_FGF17_15m_rep2,RS10_FGF17_15m_rep2_S10_R1_001.fastq.gz,,auto
RS11_FGF8_1h_rep2,RS11_FGF8_1h_rep2_S11_R1_001.fastq.gz,,auto
RS12_FGF17_1h_rep2,RS12_FGF17_1h_rep2_S12_R1_001.fastq.gz,,auto
RS13_FGF8_4h_rep2,RS13_FGF8_4h_rep2_S13_R1_001.fastq.gz,,auto
RS14_FGF17_4h_rep2,RS14_FGF17_4h_rep2_S14_R1_001.fastq.gz,,auto
RS15_FGF8_24h_rep2,RS15_FGF8_24h_rep2_S15_R1_001.fastq.gz,,auto
RS16_FGF17_24h_rep2,RS16_FGF17_24h_rep2_S16_R1_001.fastq.gz,,auto
RS17_FGF8_15m_rep3,RS17_FGF8_15m_rep3_S17_R1_001.fastq.gz,,auto
RS18_FGF17_15m_rep3,RS18_FGF17_15m_rep3_S18_R1_001.fastq.gz,,auto
RS19_FGF8_1h_rep3,RS19_FGF8_1h_rep3_S19_R1_001.fastq.gz,,auto
RS20_FGF17_1h_rep3,RS20_FGF17_1h_rep3_S20_R1_001.fastq.gz,,auto
RS21_FGF8_4h_rep3,RS21_FGF8_4h_rep3_S21_R1_001.fastq.gz,,auto
RS22_FGF17_4h_rep3,RS22_FGF17_4h_rep3_S22_R1_001.fastq.gz,,auto
RS23_FGF8_24h_rep3,RS23_FGF8_24h_rep3_S23_R1_001.fastq.gz,,auto
RS24_FGF17_24h_rep3,RS24_FGF17_24h_rep3_S24_R1_001.fastq.gz,,auto
